200501 0.9909 0.9729 0.9401 0.8898 0.8133 0.7175 0.6275 0.5291 0.4279 0.3545 0.3053 0.2603 0.2045 0.1618 
200502 0.9902 0.9724 0.9325 0.8699 0.7816 0.6843 0.5838 0.4726 0.3657 0.2497 0.1933 0.1448 0.1015 0.0891 
200503 0.9913 0.9716 0.9337 0.8819 0.8047 0.7015 0.5852 0.4564 0.3270 0.2249 0.1793 0.1454 0.0931 0.0575 
200504 0.9901 0.9676 0.9216 0.8526 0.7627 0.6515 0.5353 0.4385 0.3462 0.2734 0.1903 0.1469 0.1467 0.1398 
200505 0.9914 0.9731 0.9375 0.8826 0.8031 0.7211 0.6215 0.5160 0.4216 0.3487 0.2858 0.2405 0.2096 0.1765 
200506 0.9926 0.9779 0.9473 0.9000 0.8271 0.7398 0.6497 0.5628 0.4984 0.4443 0.3673 0.3185 0.2795 0.2277 
200507 0.9908 0.9714 0.9339 0.8667 0.7771 0.6695 0.5719 0.4967 0.4245 0.3582 0.3003 0.2667 0.2169 0.1760 
200508 0.9915 0.9709 0.9308 0.8649 0.7877 0.6959 0.5876 0.4822 0.4026 0.3362 0.2532 0.1648 0.1327 0.0991 
200509 0.9912 0.9728 0.9382 0.8851 0.8091 0.7388 0.6697 0.5913 0.5217 0.4329 0.3638 0.2820 0.2143 0.1829 
200510 0.9915 0.9755 0.9472 0.9003 0.8325 0.7414 0.6488 0.5585 0.4468 0.3556 0.2857 0.2426 0.2302 0.2003 
200511 0.9890 0.9675 0.9310 0.8743 0.8003 0.7018 0.5995 0.5159 0.4393 0.3717 0.3048 0.2432 0.1957 0.1628 
200512 0.9932 0.9798 0.9529 0.9103 0.8444 0.7746 0.6969 0.6215 0.5351 0.4425 0.3518 0.2468 0.1625 0.1437 
